動物的流水編號,動物的區域編號,動物所屬縣市代碼,動物所屬收容所代碼,動物的實際所在地,動物的類型,動物性別,動物體型,動物毛色,動物年紀,是否絕育,是否施打狂犬病疫苗,動物尋獲地,動物網頁標題,動物狀態,資料備註,其他說明,開放認養時間(起),開放認養時間(迄),動物資料異動時間,動物資料建立時間,動物所屬收容所名稱,圖片名稱(原始名稱),圖片名稱,圖片base64編碼,異動時間,cDate,地址,聯絡電話,
10602180601011,20170218011,6,61,,貓,M,MEDIUM,虎斑,ADULT,F,N,平鎮區,,OPEN,,,2017-02-18,2999-12-31,2017-05-24 23:58:52,2017-02-18 16:07:31,桃園市動物保護教育園區,,http://animal-adoption.coa.gov.tw/uploads/animal_album/61/1904281d78785c50faaf4340f089594f.jpg,,,2017/5/25 上午 12:03:10,桃園市新屋區永興里大牛欄 117 號,03-4861760 傳真: (03)4861765,
10605220601012,20170520012,6,61,,狗,M,MEDIUM,黃,ADULT,F,N,平鎮區,,OPEN,,,2017-05-22,2999-12-31,2017-05-24 23:58:44,2017-05-22 16:30:18,桃園市動物保護教育園區,,http://animal-adoption.coa.gov.tw/uploads/animal_album/61/ea25bbdf895a3121c670e378130fe4b5.jpg,,,2017/5/25 上午 12:04:05,桃園市新屋區永興里大牛欄 117 號,03-4861760 傳真: (03)4861765,
10603281701001,0327Q1-2,17,75,高雄市壽山站動物保護教育園區,狗,M,SMALL,黃,CHILD,F,N,林園區下厝路,,OPEN,,,2017-03-28,2999-12-31,2017-05-24 23:58:38,2017-03-28 09:59:46,高雄市壽山動物保護教育園區,,http://animal-adoption.coa.gov.tw/uploads/animal_album/75/69d8091244a3f3287c080d53dd2c5257.jpg,,,2017/5/25 上午 12:03:28,高雄市鼓山區萬壽路350號,07-5519059,
10602240903001,106022203,9,65,苗栗縣動物保護防疫所,貓,F,BIG,深灰,ADULT,F,N,三義鄉勝興村,,OPEN,,,2017-02-24,2999-12-31,2017-05-24 23:58:19,2017-02-24 10:27:03,苗栗動物收容所--狗狗收容區,,http://animal-adoption.coa.gov.tw/uploads/animal_album/65/495103add46fddd5536335680b62aa40.jpg,,,2017/5/25 上午 12:03:15,苗栗縣苗栗市新川里泉水窩1號,037-368997 (請於開放時間內來電),
10602240601013,20170224013,6,61,,貓,F,SMALL,虎斑,CHILD,F,N,楊梅區,,OPEN,,,2017-02-24,2999-12-31,2017-05-24 23:58:12,2017-02-24 15:52:40,桃園市動物保護教育園區,,http://animal-adoption.coa.gov.tw/uploads/animal_album/61/4d9707a16344f22c3826b08baa921ea9.jpg,,,2017/5/25 上午 12:03:16,桃園市新屋區永興里大牛欄 117 號,03-4861760 傳真: (03)4861765,
10602281101003,外貓7-1060226001,11,69,彰化縣流浪狗中途之家,貓,M,SMALL,桔,ADULT,T,T,花壇鄉,,OPEN,106年2月26日進入收容所，捕捉或拾獲地點：花壇鄉白沙村溪北街116巷，即日起開放領養,,2017-02-28,2999-12-31,2017-05-24 23:58:01,2017-02-28 14:07:54,彰化縣流浪狗中途之家,,http://animal-adoption.coa.gov.tw/uploads/animal_album/69/1488261984_69_45d28fc48a5f6028fb23064acc71bdef.png,,,2017/5/25 上午 12:03:16,彰化縣員林鎮大峰里阿寶坑426號  請於彰化縣芬園鄉大彰路一段875巷進入,04-8590638,
10603140601009,20170314009,6,61,,貓,M,MEDIUM,虎斑,ADULT,F,N,桃園區,,OPEN,,,2017-03-14,2999-12-31,2017-05-24 23:57:44,2017-03-14 16:19:28,桃園市動物保護教育園區,,http://animal-adoption.coa.gov.tw/uploads/animal_album/61/40760a7a7b2b0251ce3372f42eeddf55.jpg,,,2017/5/25 上午 12:03:21,桃園市新屋區永興里大牛欄 117 號,03-4861760 傳真: (03)4861765,
10306270201183,103061820,2,49,臺北市,貓,F,MINI,虎斑,CHILD,F,N,民族東路,,OPEN,,,2014-07-10,2999-12-31,2017-05-24 23:57:14,2014-06-27 15:11:18,臺北市動物之家,,http://animal-adoption.coa.gov.tw/uploads/animal_album/49/d9542eb433b41f8417224eaa54084dcc.JPG,,,2017/5/24 下午 11:59:52,臺北市內湖區潭美街852號,02-87913254;02-87913255,
10603090201003,106030909,2,49,臺北市,貓,F,MEDIUM,虎斑,ADULT,F,N,東山路25巷99弄,,OPEN,大家好~我的名字叫玫瑰，有漂亮花紋的我已完成絕育，正在等你來帶我回家唷!,23245,2017-03-24,2999-12-31,2017-05-24 23:57:13,2017-03-09 14:29:57,臺北市動物之家,,http://animal-adoption.coa.gov.tw/uploads/animal_album/49/5865e55d359251f1f57635e07538fc39.jpg,,,2017/5/25 上午 12:03:27,臺北市內湖區潭美街852號,02-87913254;02-87913255,
10603301005001,10603130017,10,91,中途動物醫院,貓,F,SMALL,黑白,ADULT,T,N,,,OPEN,我在北屯區"宏典動物醫院"開放認養中，歡迎來電：04-22416645,,2017-03-30,2999-12-31,2017-05-24 23:56:40,2017-03-30 15:38:40,臺中市中途動物醫院,,http://animal-adoption.coa.gov.tw/uploads/animal_album/91/b8e8b63ade37b320a3ab6bc5cf2d26a9.png,,,2017/5/25 上午 12:03:29,,,
